maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,reference,0,1,Heston_minus_BS,0,512,0.14841116883143007
63,0.9,reference,0,1,Heston_minus_BS,1,512,0.1304531464073513
63,0.9,reference,0,1,Heston_minus_BS,2,512,0.139059051196966
63,0.9,reference,0,1,Heston_minus_BS,3,512,0.16825502247640528
63,0.9,reference,0,1,Heston_minus_BS,4,512,0.13258446592643675
63,0.9,reference,0,1,Heston_minus_BS,5,512,0.1255590138562319
63,0.9,reference,0,1,Heston_minus_BS,6,512,0.09523286226214035
63,0.9,reference,0,1,Heston_minus_BS,7,512,0.11383286168791706
63,0.9,reference,0,1,Adjusted_minus_Heston,0,512,-0.1735885330217889
63,0.9,reference,0,1,Adjusted_minus_Heston,1,512,-0.15552206765037574
63,0.9,reference,0,1,Adjusted_minus_Heston,2,512,-0.1704825305965283
63,0.9,reference,0,1,Adjusted_minus_Heston,3,512,-0.207418887478781
63,0.9,reference,0,1,Adjusted_minus_Heston,4,512,-0.15746103134406858
63,0.9,reference,0,1,Adjusted_minus_Heston,5,512,-0.13815704176323323
63,0.9,reference,0,1,Adjusted_minus_Heston,6,512,-0.09107734878479723
63,0.9,reference,0,1,Adjusted_minus_Heston,7,512,-0.1288198176862199
63,0.9,reference,0,5,Heston_minus_BS,0,512,0.18340939072315723
63,0.9,reference,0,5,Heston_minus_BS,1,512,0.15329284141101585
63,0.9,reference,0,5,Heston_minus_BS,2,512,0.16333190832672073
63,0.9,reference,0,5,Heston_minus_BS,3,512,0.2111503655332609
63,0.9,reference,0,5,Heston_minus_BS,4,512,0.15897627819085725
63,0.9,reference,0,5,Heston_minus_BS,5,512,0.1376652740837415
63,0.9,reference,0,5,Heston_minus_BS,6,512,0.09723900202380661
63,0.9,reference,0,5,Heston_minus_BS,7,512,0.1474081125595539
63,0.9,reference,0,5,Adjusted_minus_Heston,0,512,-0.23051896380608414
63,0.9,reference,0,5,Adjusted_minus_Heston,1,512,-0.1825368463154698
63,0.9,reference,0,5,Adjusted_minus_Heston,2,512,-0.20321192894691026
63,0.9,reference,0,5,Adjusted_minus_Heston,3,512,-0.2775048385812341
63,0.9,reference,0,5,Adjusted_minus_Heston,4,512,-0.1952611952069201
63,0.9,reference,0,5,Adjusted_minus_Heston,5,512,-0.15583577060892057
63,0.9,reference,0,5,Adjusted_minus_Heston,6,512,-0.08735274897557374
63,0.9,reference,0,5,Adjusted_minus_Heston,7,512,-0.17638322070844167
63,0.9,reference,5,1,Heston_minus_BS,0,512,0.15240669578077157
63,0.9,reference,5,1,Heston_minus_BS,1,512,0.1349666691318022
63,0.9,reference,5,1,Heston_minus_BS,2,512,0.14291957667772232
63,0.9,reference,5,1,Heston_minus_BS,3,512,0.1736064799834685
63,0.9,reference,5,1,Heston_minus_BS,4,512,0.12920508963056415
63,0.9,reference,5,1,Heston_minus_BS,5,512,0.12352035117268714
63,0.9,reference,5,1,Heston_minus_BS,6,512,0.08882889475930555
63,0.9,reference,5,1,Heston_minus_BS,7,512,0.11375192522192655
63,0.9,reference,5,1,Adjusted_minus_Heston,0,512,-0.1777033533260186
63,0.9,reference,5,1,Adjusted_minus_Heston,1,512,-0.16032194977774228
63,0.9,reference,5,1,Adjusted_minus_Heston,2,512,-0.1739418498764333
63,0.9,reference,5,1,Adjusted_minus_Heston,3,512,-0.2140267016134691
63,0.9,reference,5,1,Adjusted_minus_Heston,4,512,-0.14907184562930892
63,0.9,reference,5,1,Adjusted_minus_Heston,5,512,-0.1324345844088447
63,0.9,reference,5,1,Adjusted_minus_Heston,6,512,-0.07754964433242637
63,0.9,reference,5,1,Adjusted_minus_Heston,7,512,-0.12539959452942895
63,0.9,reference,5,5,Heston_minus_BS,0,512,0.1782200009805813
63,0.9,reference,5,5,Heston_minus_BS,1,512,0.1496484136403442
63,0.9,reference,5,5,Heston_minus_BS,2,512,0.15795501384250754
63,0.9,reference,5,5,Heston_minus_BS,3,512,0.20660037491658742
63,0.9,reference,5,5,Heston_minus_BS,4,512,0.14907418293563238
63,0.9,reference,5,5,Heston_minus_BS,5,512,0.12864834143893578
63,0.9,reference,5,5,Heston_minus_BS,6,512,0.08451225712391786
63,0.9,reference,5,5,Heston_minus_BS,7,512,0.13966253464254053
63,0.9,reference,5,5,Adjusted_minus_Heston,0,512,-0.21979345952769377
63,0.9,reference,5,5,Adjusted_minus_Heston,1,512,-0.17414143949048505
63,0.9,reference,5,5,Adjusted_minus_Heston,2,512,-0.19153791134874343
63,0.9,reference,5,5,Adjusted_minus_Heston,3,512,-0.2678948897385618
63,0.9,reference,5,5,Adjusted_minus_Heston,4,512,-0.1763284432809052
63,0.9,reference,5,5,Adjusted_minus_Heston,5,512,-0.1386925584676646
63,0.9,reference,5,5,Adjusted_minus_Heston,6,512,-0.06362175632279275
63,0.9,reference,5,5,Adjusted_minus_Heston,7,512,-0.1607832764873975
63,0.9,reference,10,1,Heston_minus_BS,0,512,0.154829546060126
63,0.9,reference,10,1,Heston_minus_BS,1,512,0.1377864944681642
63,0.9,reference,10,1,Heston_minus_BS,2,512,0.14515644482881673
63,0.9,reference,10,1,Heston_minus_BS,3,512,0.17741470177528085
63,0.9,reference,10,1,Heston_minus_BS,4,512,0.12401270631545
63,0.9,reference,10,1,Heston_minus_BS,5,512,0.11988590329498859
63,0.9,reference,10,1,Heston_minus_BS,6,512,0.08068766753230572
63,0.9,reference,10,1,Heston_minus_BS,7,512,0.11191116272048549
63,0.9,reference,10,1,Adjusted_minus_Heston,0,512,-0.17895540292277892
63,0.9,reference,10,1,Adjusted_minus_Heston,1,512,-0.1620273520234412
63,0.9,reference,10,1,Adjusted_minus_Heston,2,512,-0.17441376073378756
63,0.9,reference,10,1,Adjusted_minus_Heston,3,512,-0.21778501330681738
63,0.9,reference,10,1,Adjusted_minus_Heston,4,512,-0.13740834410998792
63,0.9,reference,10,1,Adjusted_minus_Heston,5,512,-0.12383655248071818
63,0.9,reference,10,1,Adjusted_minus_Heston,6,512,-0.06088337650884984
63,0.9,reference,10,1,Adjusted_minus_Heston,7,512,-0.11876496040027448
63,0.9,reference,10,5,Heston_minus_BS,0,512,0.1728475117591473
63,0.9,reference,10,5,Heston_minus_BS,1,512,0.14583099905827682
63,0.9,reference,10,5,Heston_minus_BS,2,512,0.1523809041305788
63,0.9,reference,10,5,Heston_minus_BS,3,512,0.20188743840111317
