day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
0,0.0,open,100.0,0.4798266421086347,4.618403328845416,0.0,0.4798266421086347,0.04798266421086347,0.04798266421086347,0.4798266421086347,-43.412243546228915,4.570420664634554,,
1,0.003968253968253968,rebalance,100.92780253957949,0.5102926699513264,-43.412243546228915,-0.0068913792293155175,0.0304660278426917,0.003074869242272519,0.05105753345313599,0.5102926699513264,-46.49707903697302,5.005638793269256,,
2,0.007936507936507936,rebalance,101.99705201605586,0.548732292636993,-46.49707903697302,-0.007381074520095207,0.038439622685666586,0.003920728194547495,0.054978261647683484,0.548732292636993,-50.42910903423516,5.5399671607497964,,
3,0.011904761904761904,rebalance,101.59852678384283,0.5324975966123825,-50.42910903423516,-0.00800525580257886,-0.016234696024610473,0.001649421198883934,0.05662768284656742,0.5324975966123825,-48.78934251235269,5.311628819402387,,
4,0.015873015873015872,rebalance,102.9424421298094,0.5825019372547842,-48.78934251235269,-0.007744954744012413,0.05000434064240167,0.005147568942819709,0.06177525178938713,0.5825019372547842,-53.94980397885923,6.014367987493252,,
5,0.01984126984126984,rebalance,103.92341863059141,0.6203079061101647,-53.94980397885923,-0.008564140624744336,0.03780596885538057,0.003928925528092816,0.06570417731747995,0.6203079061101647,-57.89122257310488,6.5732956334473585,,
6,0.023809523809523808,rebalance,104.96383384130615,0.6598664549927509,-57.89122257310488,-0.00918981227899778,0.03955854888258614,0.004152216951914959,0.06985639426939491,0.6598664549927509,-62.056781554250755,7.20533138506007,,
7,0.027777777777777776,rebalance,105.48595796872137,0.6789818722609714,-62.056781554250755,-0.009851064596229172,0.019115417268220525,0.002016408102510081,0.07187280237190499,0.6789818722609714,-64.08505712945957,7.537996109384991,,
8,0.031746031746031744,rebalance,106.50723500839628,0.7156527876447571,-64.08505712945957,-0.010173038653051126,0.03667091538378575,0.0039057178027538837,0.07577852017465887,0.7156527876447571,-68.00485368866926,8.21734594942481,,
9,0.03571428571428571,rebalance,104.87081076243584,0.6521040290286797,-68.00485368866926,-0.010795277965850397,-0.06354875861607745,0.006664409839014372,0.08244293001367324,0.6521040290286797,-61.357903537459755,7.028774688228886,,
10,0.03968253968253968,rebalance,105.07407346634169,0.6618464518455016,-61.357903537459755,-0.009740122773017248,0.009742422816821916,0.0010236760507949096,0.08346660606446815,0.6618464518455016,-62.392343387078476,7.150559317573332,,
11,0.04365079365079365,rebalance,105.55061081994724,0.6849561619682301,-62.392343387078476,-0.009904332606725737,0.023109710122728444,0.002439244019325905,0.08590585008379406,0.6849561619682301,-64.84393098303043,7.453610297602964,,
12,0.047619047619047616,rebalance,105.81098803485473,0.7012524626458919,-64.84393098303043,-0.01029350438080371,0.016296300677661857,0.0017243276760164738,0.08763017775981054,0.7012524626458919,-66.58027649110372,7.619939443333166,,
13,0.051587301587301584,rebalance,106.76726622098408,0.7316932810712767,-66.58027649110372,-0.010569136653909092,0.03044081842538482,0.0032500829648076986,0.09088026072461823,0.7316932810712767,-69.84417867553013,8.276712656712206,,
14,0.05555555555555555,rebalance,105.42989511404134,0.6847518625037055,-69.84417867553013,-0.011087257485335865,-0.04694141856757128,0.004949028836083353,0.09582928956070158,0.6847518625037055,-64.9111861257682,7.282130917141927,,
15,0.05952380952380952,rebalance,106.02392117940019,0.7106846290848903,-64.9111861257682,-0.010304180647586238,0.02593276658118482,0.0027494935999673228,0.0985787831606689,0.7106846290848903,-67.67373339998306,7.675837697524599,,
16,0.06349206349206349,rebalance,105.6935471356527,0.6986962971267564,-67.67373339998306,-0.01074271501831632,-0.011988331958133869,0.0012670893288948737,0.09984587248956377,0.6986962971267564,-66.4186538754354,7.429036138437425,,
17,0.06746031746031746,rebalance,106.51326297333848,0.7437515384975171,-66.4186538754354,-0.010543480234299765,0.04505524137076067,0.0047989807724510706,0.10464485326201484,0.7437515384975171,-71.23297710889322,7.986426097917899,,
18,0.07142857142857142,rebalance,107.09213782643751,0.7696087557136391,-71.23297710889322,-0.011307719177604605,0.025857217216121997,0.00276910466991707,0.10741395793193191,0.7696087557136391,-74.01615860265782,8.402888336660283,,
19,0.07539682539682539,rebalance,107.62536707639305,0.7899167084805927,-74.01615860265782,-0.011749529081235142,0.02030795276695363,0.0021856508711134365,0.10959960880304535,0.7899167084805927,-76.2157446537236,8.799331056276344,,
20,0.07936507936507936,rebalance,108.9482411766468,0.8442517836383394,-76.2157446537236,-0.012098697435302471,0.054335075157746715,0.00591971087263742,0.11551931967568277,0.8442517836383394,-82.15347393466897,9.826273002975071,,
21,0.08333333333333333,rebalance,109.6380185272059,0.868796589989201,-82.15347393466897,-0.01304126895184783,0.024544806350861537,0.002691043933442438,0.11821036360912521,0.868796589989201,-84.8602501809967,10.392886448612629,,
22,0.0873015873015873,rebalance,109.95028100418165,0.8815204264325098,-84.8602501809967,-0.013470950075848802,0.012723836443308878,0.0013989893923930584,0.11960935300151826,0.8815204264325098,-86.27410951285799,10.649309084322496,,
23,0.09126984126984126,rebalance,110.78628064772548,0.9024414502903182,-86.27410951285799,-0.013695390004238755,0.020921023857808363,0.0023177624205489174,0.12192711542206718,0.9024414502903182,-88.6078850858317,11.370246694171897,,
24,0.09523809523809523,rebalance,110.22099490292958,0.8880348797586433,-88.6078850858317,-0.01406585997297807,-0.014406570531674934,0.0015879065371404385,0.12351502195920762,0.8880348797586433,-87.03563231520137,10.844455640299728,,
25,0.0992063492063492,rebalance,111.21247399002122,0.9171381456603939,-87.03563231520137,-0.013816276233422714,0.029103265901750608,0.003236646202123111,0.12675166816133074,0.9171381456603939,-90.28933143976003,11.707870729752813,,
26,0.10317460317460317,rebalance,110.5336601482374,0.9051478637399014,-90.28933143976003,-0.014332777402995957,-0.011990281920492452,0.0013253297468812679,0.128076997908212,0.9051478637399014,-88.97965980002864,11.069646554500721,,
27,0.10714285714285714,rebalance,110.72996487557045,0.9119946809530254,-88.97965980002864,-0.014124876516103127,0.006846817213123968,0.0007581478295186681,0.12883514573773067,0.9119946809530254,-89.75269065389294,11.232448334742628,,
28,0.1111111111111111,rebalance,110.8217497187191,0.9222257125139308,-89.75269065389294,-0.014247589565113543,0.010231031560905435,0.0011338208190069781,0.12996896655673765,0.9222257125139308,-90.90189288328405,11.300774213102187,,
29,0.11507936507936507,rebalance,111.64076182437513,0.9453874129779692,-90.90189288328405,-0.014430017095390237,0.023161700464038426,0.002585789884953233,0.13255475644169087,0.9453874129779692,-93.50469857521763,12.039072428818002,,
30,0.11904761904761904,rebalance,111.60056485728703,0.9410380037729501,-93.50469857521763,-0.014843193646936913,-0.004349409205019139,0.0004853965240756196,0.1330401529657665,0.9410380037729501,-93.03463064131303,11.985742131921995,,
31,0.12301587301587301,rebalance,111.41860611963865,0.9411710382714283,-93.03463064131303,-0.014768573767118267,0.000133034498478235,1.4822518386270134e-05,0.13305497548415277,0.9411710382714283,-93.0642365559848,11.799728648390825,,
32,0.12698412698412698,rebalance,111.58932068853878,0.9447345566961157,-93.0642365559848,-0.01477327349163761,0.003563518424687384,0.000397650600271957,0.13345262608442474,0.9447345566961157,-93.47705808034868,11.945229332358693,,
33,0.13095238095238096,rebalance,112.98032511766725,0.9687520186408508,-93.47705808034868,-0.014838805918575788,0.024017461944735086,0.002713500659017371,0.1361661267434421,0.9687520186408508,-96.20811104594364,13.241806978496129,,
