day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
0,0.0,open,100.0,0.573865852654722,4.618403328845416,0.0,0.573865852654722,0.057386585265472204,0.057386585265472204,0.573865852654722,-52.82556852189225,4.561016743579948,,
1,0.003968253968253968,rebalance,100.92780253957949,0.6068439556651469,-52.82556852189225,-0.008385676388756346,0.03297810301042492,0.0033284074687660783,0.060714992734238284,0.6068439556651469,-56.16569007451585,5.0817368551934265,,
2,0.007936507936507936,rebalance,101.99705201605586,0.6442458194396214,-56.16569007451585,-0.008915896492829702,0.03740186377447452,0.003814879844902513,0.06452987257914079,0.6442458194396214,-59.9933006957561,5.717873660753504,,
3,0.011904761904761904,rebalance,101.59852678384283,0.6345120908273199,-59.9933006957561,-0.009523501955676458,-0.009733728612301595,0.000988932487123581,0.06551880506626437,0.6345120908273199,-59.014880643075315,5.450613011516253,,
4,0.015873015873015872,rebalance,102.9424421298094,0.6743445639637461,-59.014880643075315,-0.009368184858982066,0.03983247313642624,0.004100452060733745,0.06961925712699811,0.6743445639637461,-63.12880134072878,6.289874910660707,,
5,0.01984126984126984,rebalance,103.92341863059141,0.713557879860594,-63.12880134072878,-0.01002123997272366,0.039213315896847956,0.004075181843841756,0.07369443897083987,0.713557879860594,-67.2180796063871,6.937294659522678,,
6,0.023809523809523808,rebalance,104.96383384130615,0.7505167953750752,-67.2180796063871,-0.010670383278870458,0.03695891551448116,0.003879349467016873,0.07757378843785674,0.7505167953750752,-71.11197880614985,7.66514139870911,,
7,0.027777777777777776,rebalance,105.48595796872137,0.7669215505604802,-71.11197880614985,-0.01128851157343137,0.016404755185404962,0.0017304713159747918,0.07930425975383153,0.7669215505604802,-72.85546910501404,8.043985342715388,,
8,0.031746031746031744,rebalance,106.50723500839628,0.7988209090139861,-72.85546910501404,-0.011565278030325291,0.03189935845350589,0.0033975124674246243,0.08270177222125615,0.7988209090139861,-76.26794436293642,8.812261923036942,,
9,0.03571428571428571,rebalance,104.87081076243584,0.736493988800079,-76.26794436293642,-0.012106983761058994,-0.06232692021390707,0.006536274655158085,0.08923804687641423,0.736493988800079,-69.75031296619454,7.486408760930075,,
