maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,0.9,reference,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,reference,0,1,Heston,0.6999010109655319,0.7004005403791688,0.0004995294136368768,0.0013218691703411696
63,0.9,reference,0,1,Adjusted,0.5924137219149656,0.594000959065992,0.0015872371510265006,0.0014648256710554327
63,0.9,reference,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,reference,0,5,Heston,1.054409487436786,1.0561510080194734,0.0017415205826871827,0.003039615284429643
63,0.9,reference,0,5,Adjusted,0.9701545714003729,0.972632832776078,0.0024782613757050515,0.003709121215221112
63,0.9,reference,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,reference,5,1,Heston,0.6684025308957392,0.6684907073662144,8.817647047527775e-05,0.0014712900096354436
63,0.9,reference,5,1,Adjusted,0.5585747715676846,0.5597198587366716,0.0011450871689869606,0.0014134417517542171
63,0.9,reference,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,reference,5,5,Heston,1.00357152646719,1.0048859153495346,0.0013143888823442878,0.0030215151112296178
63,0.9,reference,5,5,Adjusted,0.932403226019777,0.9344041221723929,0.0020008961526157593,0.0035919043500711144
63,0.9,reference,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,reference,10,1,Heston,0.6889715737363997,0.6886706987359332,-0.0003008750004664865,0.0016942728349837379
63,0.9,reference,10,1,Adjusted,0.5798883746878614,0.5806260475763214,0.0007376728884601115,0.0014627998113643263
63,0.9,reference,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,reference,10,5,Heston,0.981196464301813,0.982086226479774,0.0008897621779609568,0.003039207283332318
63,0.9,reference,10,5,Adjusted,0.9235103038142706,0.9250381251939032,0.0015278213796325588,0.003500649941226339
63,0.9,kappa_minus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,kappa_minus20,0,1,Heston,0.7132395198104947,0.7136821820785921,0.00044266226809731537,0.0013339593101098994
63,0.9,kappa_minus20,0,1,Adjusted,0.592797352694756,0.5943847845946939,0.0015874318999379627,0.0014616150150737208
63,0.9,kappa_minus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,kappa_minus20,0,5,Heston,1.0678679355530312,1.0695739595460767,0.0017060239930456742,0.0030196875071638114
63,0.9,kappa_minus20,0,5,Adjusted,0.9705541602948144,0.9730031094677132,0.0024489491728987827,0.0037102068545009316
63,0.9,kappa_minus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,kappa_minus20,5,1,Heston,0.6823683749435804,0.6823993480422135,3.097309863310451e-05,0.0014922076452983054
63,0.9,kappa_minus20,5,1,Adjusted,0.5590559217516722,0.5602000740139905,0.0011441522623183075,0.0014124076075311901
63,0.9,kappa_minus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,kappa_minus20,5,5,Heston,1.0166824078295722,1.017958700796762,0.001276292967190044,0.0030070354373425002
63,0.9,kappa_minus20,5,5,Adjusted,0.9327606240152796,0.9347275762097993,0.001966952194519562,0.0035928245561580546
63,0.9,kappa_minus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,kappa_minus20,10,1,Heston,0.7037755452251491,0.7034174855413304,-0.00035805968381866736,0.0017217155431450775
63,0.9,kappa_minus20,10,1,Adjusted,0.580812530682676,0.581548493159364,0.0007359624766880385,0.0014638272945290034
63,0.9,kappa_minus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,kappa_minus20,10,5,Heston,0.9940490421926937,0.9948982264895628,0.0008491842968690998,0.0030307408902281877
63,0.9,kappa_minus20,10,5,Adjusted,0.9239164668093494,0.9254057755026346,0.0014893086932852204,0.003501601320618531
63,0.9,kappa_plus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,kappa_plus20,0,1,Heston,0.6884871642888063,0.6890387199521929,0.0005515556633865006,0.0013135760237935102
63,0.9,kappa_plus20,0,1,Adjusted,0.5922896675357681,0.5938749756636096,0.0015853081278415192,0.0014690478948134514
63,0.9,kappa_plus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,kappa_plus20,0,5,Heston,1.0429518900571901,1.0447278398437407,0.0017759497865503528,0.0030603022323040818
63,0.9,kappa_plus20,0,5,Adjusted,0.9699456881387435,0.9724482267885819,0.002502538649838623,0.003709035751777606
63,0.9,kappa_plus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,kappa_plus20,5,1,Heston,0.6564342456366556,0.6565752334604877,0.00014098782383212863,0.0014544662350006578
63,0.9,kappa_plus20,5,1,Adjusted,0.558371837148008,0.5595153616066557,0.001143524458647744,0.0014157894834674353
63,0.9,kappa_plus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,kappa_plus20,5,5,Heston,0.9924512703418731,0.9938017462391695,0.0013504758972964744,0.003037284701529266
63,0.9,kappa_plus20,5,5,Adjusted,0.9322227048689034,0.9342518611406023,0.0020291562716987714,0.0035921144949875544
63,0.9,kappa_plus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,kappa_plus20,10,1,Heston,0.6762573405573075,0.6760105326864161,-0.0002468078708914987,0.0016711742417554773
63,0.9,kappa_plus20,10,1,Adjusted,0.5792935806071124,0.580030074045425,0.0007364934383124723,0.0014633150160959741
63,0.9,kappa_plus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,kappa_plus20,10,5,Heston,0.9703326945547495,0.9712600264217985,0.0009273318670488912,0.0030495097522625432
63,0.9,kappa_plus20,10,5,Adjusted,0.9232767540890344,0.9248367113015719,0.0015599572125375842,0.0035009725365163745
63,0.9,theta_minus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,theta_minus20,0,1,Heston,0.7278118127218267,0.7281518220455444,0.00034000932371773204,0.0013637897568651728
63,0.9,theta_minus20,0,1,Adjusted,0.5877384821513272,0.589254559709743,0.0015160775584158914,0.0014357385073329636
